INDEX,CO_CATEGORIA_ADMINISTRATIVA,CO_CURSO,CO_GRAU_ACADEMICO,CO_IES,CO_LOCAL_OFERTA,CO_LOCAL_OFERTA_CURSO,CO_LOCAL_OFERTA_IES,CO_MODALIDADE_ENSINO,CO_MUNICIPIO_CURSO,CO_NIVEL_ACADEMICO,CO_OCDE,CO_OCDE_AREA_DETALHADA,CO_OCDE_AREA_ESPECIFICA,CO_OCDE_AREA_GERAL,CO_ORGANIZACAO_ACADEMICA,CO_SITUACAO_CURSO,CO_UF_CURSO,CO_UNIDADE_FUNCIONAMENTO,DS_CATEGORIA_ADMINISTRATIVA,DS_GRAU_ACADEMICO,DS_MODALIDADE_ENSINO,DS_NIVEL_ACADEMICO,DS_ORGANIZACAO_ACADEMICA,DS_SITUACAO_CURSO,DT_AUTORIZACAO_CURSO,DT_INICIO_FUNCIONAMENTO,IN_AJUDA_DEFICIENTE,IN_ALTO_RELEVO,IN_AUDIO,IN_BRAILLE,IN_CAPITAL_CURSO,IN_CARACTER_AMPLIADO,IN_CONVENIO_PEC_G,IN_DISCIPLINA_LIBRAS,IN_ENEM,IN_GRATUITO,IN_GUIA_INTERPRETE,IN_INTEGRAL_CURSO,IN_MATERIAL_AMPLIADO,IN_MATERIAL_AUDIO,IN_MATERIAL_BRAILLE,IN_MATERIAL_DIGITAL,IN_MATERIAL_IMPRESSO,IN_MATERIAL_LIBRAS,IN_MATERIAL_TATIL,IN_MATUTINO_CURSO,IN_NOTURNO_CURSO,IN_OFERECE_DISC_DISTANCIA,IN_OFERECE_DISC_SEMI_PRES,IN_OUTRAS_FORMAS_INGRESSO,IN_OUTRA_FORMA_SELECAO,IN_PARTICIPA_UAB,IN_PERMITE_CONCLUINTE,IN_POSSUI_LABORATORIO,IN_RECURSOS_COMUNICACAO,IN_RECURSOS_INFORMATICA,IN_SINTESE_VOZ,IN_TRADUTOR_LIBRAS,IN_UTILIZA_LABORATORIO,IN_VESPERTINO_CURSO,IN_VESTIBULAR,NO_AREA_DETALHADA,NO_AREA_ESPECIFICA,NO_AREA_GERAL,NO_CURSO,NO_IES,NO_MUNICIPIO_CURSO,NO_OCDE,NO_OCDE_AREA_DETALHADA,NO_OCDE_AREA_ESPECIFICA,NO_OCDE_AREA_GERAL,NO_ORGANIZACAO_ACADEMICA,NO_REGIAO_CURSO,NU_CARGA_HORARIA,NU_INTEGRALIZACAO_EAD,NU_INTEGRALIZACAO_INTEGRAL,NU_INTEGRALIZACAO_MATUTINO,NU_INTEGRALIZACAO_NOTURNO,NU_INTEGRALIZACAO_VESPERTINO,NU_PERC_CARGA_HOR_DISTANCIA,NU_PERC_CAR_HOR_SEMI_PRES,NU_PRAZO_INTEGRALIZACAO,QT_CONCLUINTE_CURSO,QT_INGRESSO_CURSO,QT_INGRESSO_OUTRA_FORMA,QT_INGRESSO_PROCESSO_SELETIVO,QT_INGRESSO_VAGAS_NOVAS,QT_INSCRITOS_ANO,QT_INSCRITOS_ANO_EAD,QT_INSCRITOS_INTEGRAL_PRES,QT_INSCRITOS_MATUTINO_PRES,QT_INSCRITOS_NOTURNO_PRES,QT_INSCRITOS_OUTRAS_VAGAS_EAD,QT_INSCRITOS_OUTRAS_VAGAS_INTE,QT_INSCRITOS_OUTRAS_VAGAS_MATU,QT_INSCRITOS_OUTRAS_VAGAS_NOT,QT_INSCRITOS_OUTRAS_VAGAS_VESP,QT_INSCRITOS_PRINCIPAL_EAD,QT_INSCRITOS_PRINCIPAL_INTE,QT_INSCRITOS_PRINCIPAL_MATU,QT_INSCRITOS_PRINCIPAL_NOTURNO,QT_INSCRITOS_PRINCIPAL_VESP,QT_INSCRITOS_VESPERTINO_PRES,QT_INSC_VAGAS_NOVAS_EAD,QT_INSC_VAGAS_NOVAS_INT,QT_INSC_VAGAS_NOVAS_MAT,QT_INSC_VAGAS_NOVAS_NOT,QT_INSC_VAGAS_NOVAS_VESP,QT_INSC_VAGAS_PROG_ESP_EAD,QT_INSC_VAGAS_PROG_ESP_INT,QT_INSC_VAGAS_PROG_ESP_MAT,QT_INSC_VAGAS_PROG_ESP_NOT,QT_INSC_VAGAS_PROG_ESP_VESP,QT_INSC_VAGAS_REMAN_EAD,QT_INSC_VAGAS_REMAN_INT,QT_INSC_VAGAS_REMAN_MAT,QT_INSC_VAGAS_REMAN_NOT,QT_INSC_VAGAS_REMAN_VESP,QT_MATRICULA_CURSO,QT_OUTRAS_VAGAS_EAD,QT_OUTRAS_VAGAS_INTEGRAL,QT_OUTRAS_VAGAS_MATUTINO,QT_OUTRAS_VAGAS_NOTURNO,QT_OUTRAS_VAGAS_VESPERTINO,QT_PROCESSO_OUTRA_FORMA,QT_PROCESSO_SELETIVO,QT_VAGAS_ANUAL_EAD,QT_VAGAS_INTEGRAL,QT_VAGAS_INTEGRAL_PRES,QT_VAGAS_MATUTINO,QT_VAGAS_MATUTINO_PRES,QT_VAGAS_NOTURNO,QT_VAGAS_NOTURNO_PRES,QT_VAGAS_NOVAS_EAD,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_NOVAS_MATUTINO,QT_VAGAS_NOVAS_NOTURNO,QT_VAGAS_NOVAS_VESPERTINO,QT_VAGAS_PRINCIPAL_EAD,QT_VAGAS_PRINCIPAL_INTEGRAL,QT_VAGAS_PRINCIPAL_MATUTINO,QT_VAGAS_PRINCIPAL_NOTURNO,QT_VAGAS_PRINCIPAL_VESPERTINO,QT_VAGAS_PROG_ESP_EAD,QT_VAGAS_PROG_ESP_INTEGRAL,QT_VAGAS_PROG_ESP_MATUTINO,QT_VAGAS_PROG_ESP_NOTURNO,QT_VAGAS_PROG_ESP_VESPERTINO,QT_VAGAS_REMANESC_EAD,QT_VAGAS_REMANESC_INTEGRAL,QT_VAGAS_REMANESC_MATUTINO,QT_VAGAS_REMANESC_NOTURNO,QT_VAGAS_REMANESC_VESPERTINO,QT_VAGAS_TOTAIS,QT_VAGAS_VESPERTINO,QT_VAGAS_VESPERTINO_PRES,SGL_UF_CURSO,TP_ATRIBUTO_INGRESSO,Unnamed: 0,ano_censo
1,5,2656,1.0,3368,,,,1,3170701.0,1,52100000.0,521.0,52.0,5.0,2,,31.0,76624.0,PARTICULAR CONFESSIONAL,,,,,,,,1,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,1.0,,,,,,0.0,,0.0,1.0,1.0,,1.0,0.0,,1.0,,,,0.0,1.0,1.0,0.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA MECANICA,CENTRO UNIVERSITARIO DO SUL DE MINAS,VARGINHA,Engenharia mecânica,,,,CENTRO UNIVERSITARIO,Sudeste,3720,,,,,,5.0,,10.0,28.0,42.0,,,,244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,9.0,33.0,,0.0,,0.0,,140.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,28,2009
2,6,1319,1.0,15,,,,1,3303906.0,1,52100000.0,521.0,52.0,5.0,1,,33.0,83704.0,PARTICULAR COMUNITARIA,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,1.0,,1.0,0.0,,1.0,,,,0.0,0.0,1.0,1.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA MECANICA,UNIVERSIDADE CATOLICA DE PETROPOLIS,PETROPOLIS,Engenharia mecânica,,,,UNIVERSIDADE,Sudeste,4320,,,,,,20.0,,10.0,7.0,88.0,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,10.0,78.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,98,2009
3,1,12721,1.0,572,,,,1,3303302.0,1,52100000.0,521.0,52.0,5.0,1,,33.0,78490.0,FEDERAL,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,0.0,0.0,1.0,0.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA MECANICA,UNIVERSIDADE FEDERAL FLUMINENSE,NITEROI,Engenharia mecânica,,,,UNIVERSIDADE,Sudeste,4110,,,,,,,,10.0,26.0,94.0,,,,1145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.0,,,,,,6.0,88.0,,80.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,119,2009
4,1,14646,1.0,602,,,,1,3549904.0,1,52100000.0,521.0,52.0,5.0,3,,35.0,77010.0,FEDERAL,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.0,,,,0.0,0.0,1.0,0.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA MECANICAAERONAUTICA,INSTITUTO TECNOLOGICO DE AERONAUTICA,SAO JOSE DO CAMPOS,Engenharia mecânica,,,,FACULDADE,Sudeste,4416,,,,,,,,10.0,34.0,25.0,,,,1561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,0.0,25.0,,28.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,194,2009
5,4,11715,1.0,555,,,,1,2304400.0,1,52100000.0,521.0,52.0,5.0,1,,23.0,76580.0,PARTICULAR EM SENTIDO ESTRITO,,,,,,,,1,0.0,0.0,1.0,,1.0,0.0,1.0,0.0,,0.0,0.0,,,,,,0.0,,1.0,0.0,1.0,,1.0,0.0,,1.0,,,,1.0,1.0,1.0,0.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA MECANICA,UNIVERSIDADE DE FORTALEZA,FORTALEZA,Engenharia mecânica,,,,UNIVERSIDADE,Nordeste,4392,,,,,,1.0,,10.0,21.0,78.0,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,,,,,,6.0,72.0,,0.0,,80.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,208,2009
6,1,14647,1.0,602,,,,1,3549904.0,1,5230000.0,523.0,52.0,5.0,3,,35.0,77010.0,FEDERAL,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.0,,,,0.0,0.0,1.0,0.0,1.0,Eletrônica e automação,Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA DE COMPUTACAO,INSTITUTO TECNOLOGICO DE AERONAUTICA,SAO JOSE DO CAMPOS,Engenharia de computação,,,,FACULDADE,Sudeste,4464,,,,,,,,10.0,26.0,24.0,,,,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,,,,,,0.0,24.0,,25.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,315,2009
7,1,13708,1.0,581,,,,1,4314902.0,1,52100000.0,521.0,52.0,5.0,1,,43.0,33563.0,FEDERAL,,,,,,,,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,1.0,0.0,,1.0,,,,0.0,0.0,1.0,0.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",Engenharia Mecanica,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,PORTO ALEGRE,Engenharia mecânica,,,,UNIVERSIDADE,Sul,3525,,,,,,,,10.0,59.0,132.0,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.0,,,,,,7.0,125.0,,120.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,328,2009
8,1,18143,1.0,598,,,,1,3132404.0,1,52300000000000.0,523.0,52.0,5.0,1,,31.0,25976.0,FEDERAL,,,,,,,,0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,1.0,1.0,,1.0,,,,0.0,0.0,1.0,0.0,1.0,Eletrônica e automação,Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA DE CONTROLE E AUTOMACAO,UNIVERSIDADE FEDERAL DE ITAJUBA  UNIFEI,ITAJUBA,Engenharia de controle e automação,,,,UNIVERSIDADE,Sudeste,3973,,,,,,,,9.0,33.0,47.0,,,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,,,,,,2.0,45.0,,45.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,333,2009
9,2,2712,1.0,54,,,,1,3509502.0,1,5230000.0,523.0,52.0,5.0,1,,35.0,77460.0,ESTADUAL,,,,,,,,1,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,1.0,,1.0,,,,1.0,0.0,1.0,0.0,0.0,Eletrônica e automação,Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA DE COMPUTACAO,UNIVERSIDADE ESTADUAL DE CAMPINAS,CAMPINAS,Engenharia de computação,,,,UNIVERSIDADE,Sudeste,5880,,,,,,,,10.0,0.0,1.0,,,,1730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,1.0,,90.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,403,2009
10,2,2690,1.0,54,,,,1,3509502.0,1,52100000.0,521.0,52.0,5.0,1,,35.0,77460.0,ESTADUAL,,,,,,,,1,1.0,1.0,1.0,,1.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.0,,,,1.0,0.0,1.0,0.0,1.0,Engenharia mecânica e metalurgia (trabalhos com metais),Engenharia e profissões correlatas,"Engenharia, produção e construção",ENGENHARIA MECANICA,UNIVERSIDADE ESTADUAL DE CAMPINAS,CAMPINAS,Engenharia mecânica,,,,UNIVERSIDADE,Sudeste,4395,,,,,,,,10.0,4.0,0.0,,,,2495.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,0.0,0.0,,140.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,406,2009
